GEOID10,profile,time_limit,average_area
421010260001.0,car,600,227889675.17068958
421010260001.0,car,1800,3044472492.1403685
421010260001.0,car,1200,1101597363.011438
421010260001.0,foot,600,1910401.5664196417
421010260001.0,foot,1800,18450463.084002536
421010260001.0,foot,1200,7840830.828887694
421010260001.0,pt,600,1492119.3491550966
421010260001.0,pt,1800,40954719.229634695
421010260001.0,pt,1200,9247329.131399643
421010260002.0,car,600,209556795.77614775
421010260002.0,car,1800,2931791206.846798
421010260002.0,car,1200,1062729804.005476
421010260002.0,foot,600,2309283.464328115
421010260002.0,foot,1800,20037178.303174574
421010260002.0,foot,1200,8987278.184714045
421010260002.0,pt,600,1743078.3994521617
421010260002.0,pt,1800,38715186.68794741
421010260002.0,pt,1200,8909542.52201871
421010260003.0,car,600,210700770.35774973
421010260003.0,car,1800,2941612875.0071654
421010260003.0,car,1200,1061183290.6968464
421010260003.0,foot,600,2216898.126316271
421010260003.0,foot,1800,19443478.790254172
421010260003.0,foot,1200,8574429.460911352
421010260003.0,pt,600,1746743.893759337
421010260003.0,pt,1800,41527332.87581211
421010260003.0,pt,1200,10232823.696340995
421010301001.0,car,600,234990875.0087185
421010301001.0,car,1800,3568371851.3866897
421010301001.0,car,1200,1312620825.3360305
421010301001.0,foot,600,2414762.090848169
421010301001.0,foot,1800,22673402.57813843
421010301001.0,foot,1200,9848360.72251128
421010301001.0,pt,600,2520991.7725396384
421010301001.0,pt,1800,77756393.82789554
421010301001.0,pt,1200,19432343.08562971
421010301002.0,car,600,229330116.31663737
421010301002.0,car,1800,3553188557.562805
421010301002.0,car,1200,1301904968.3432853
421010301002.0,foot,600,2238938.111078332
421010301002.0,foot,1800,22612494.272658564
421010301002.0,foot,1200,9685921.412950112
421010301002.0,pt,600,2156335.90866879
421010301002.0,pt,1800,79658347.55365606
421010301002.0,pt,1200,18551338.124832295
421010301003.0,car,600,229163750.39846978
421010301003.0,car,1800,3478569017.382861
421010301003.0,car,1200,1269371952.1365094
421010301003.0,foot,600,2060326.2548579413
421010301003.0,foot,1800,22014309.86310929
421010301003.0,foot,1200,9273428.800862046
421010301003.0,pt,600,2047712.6603725448
421010301003.0,pt,1800,79479711.11790073
421010301003.0,pt,1200,18161441.8142067
421010301004.0,car,600,242289321.5359516
421010301004.0,car,1800,3561044846.8948774
421010301004.0,car,1200,1305921581.5614445
421010301004.0,foot,600,2018299.4504125048
421010301004.0,foot,1800,21285412.00060868
421010301004.0,foot,1200,8833899.447984762
421010301004.0,pt,600,2133751.2275554733
421010301004.0,pt,1800,58043591.64399151
421010301004.0,pt,1200,12960480.731389467
421010301005.0,car,600,240430545.159422
421010301005.0,car,1800,3537523728.5255876
421010301005.0,car,1200,1299347181.023497
421010301005.0,foot,600,2178644.875306261
421010301005.0,foot,1800,21915495.972568326
421010301005.0,foot,1200,9379108.052170504
421010301005.0,pt,600,2150223.8217018633
421010301005.0,pt,1800,71936485.83225715
421010301005.0,pt,1200,16011003.682489384
421010088012.0,car,600,216059333.0342974
421010088012.0,car,1800,3481423129.593225
421010088012.0,car,1200,1180277484.8311183
421010088012.0,foot,600,2306610.314470239
421010088012.0,foot,1800,21112349.71170525
421010088012.0,foot,1200,9557894.186014403
421010088012.0,pt,600,2229864.3361523757
421010088012.0,pt,1800,67790749.80161908
421010088012.0,pt,1200,19459422.786239795
421010088011.0,car,600,205297417.1153084
421010088011.0,car,1800,3486143327.4700317
421010088011.0,car,1200,1181425200.4218488
421010088011.0,foot,600,2087277.3033750854
421010088011.0,foot,1800,21716679.944654863
421010088011.0,foot,1200,9417602.981528146
421010088011.0,pt,600,2873692.1732724058
421010088011.0,pt,1800,66618176.968246624
421010088011.0,pt,1200,20853621.356449112
421010088021.0,car,600,207450253.17152724
421010088021.0,car,1800,3482932304.4710402
421010088021.0,car,1200,1171502515.648322
421010088021.0,foot,600,2311865.8534565764
421010088021.0,foot,1800,22245578.863893397
421010088021.0,foot,1200,9407186.3609229
421010088021.0,pt,600,3324952.6306087114
421010088021.0,pt,1800,69001675.99971023
421010088021.0,pt,1200,24031759.595317706
421010088022.0,car,600,207953909.8553094
421010088022.0,car,1800,3413299479.91915
421010088022.0,car,1200,1155373195.144772
421010088022.0,foot,600,2338553.5762148947
421010088022.0,foot,1800,21481542.255284704
421010088022.0,foot,1200,9819204.283579763
