,isochrone,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
0,421010108001-600-foot,"39.96876598164982,-75.1997268790072",1545241.7849777287,3.7083333333333335,True,1458.387878611884,0.0,5719.0,13,8.412922900727388e-06
1,421010108001-1200-foot,"39.96876598164982,-75.1997268790072",7552386.134415641,3.51980198019802,True,4245.550548034552,0.0,5152.0,53,7.017649661539826e-06
2,421010108001-1800-foot,"39.96876598164982,-75.1997268790072",17370102.989468616,3.473647711511789,True,8506.445760127925,0.0,5584.0,80,4.605614603926269e-06
3,421010108001-600-car,"39.96876598164982,-75.1997268790072",198873267.31508702,3.681062759676361,True,209322.29889113817,0.0,8960.0,1176,5.9133136186513775e-06
4,421010108001-1200-car,"39.96876598164982,-75.1997268790072",1108233418.0847855,3.64243906053197,True,835668.097031269,0.0,11168.0,2706,2.4417238785998936e-06
5,421010108001-1800-car,"39.96876598164982,-75.1997268790072",3263261805.1663723,3.6230859026299527,True,944060.3934963488,0.0,12224.0,2856,8.75197937069714e-07
6,421010108001-600-pt,"39.96876598164982,-75.1997268790072",1728699.0292688906,3.59375,True,729.032073511927,0.0,6656.0,13,7.520106033436034e-06
7,421010108001-1200-pt,"39.96876598164982,-75.1997268790072",8499368.35045737,3.721763085399449,True,14249.487275289095,0.0,8640.0,54,6.353413309483656e-06
8,421010108001-1800-pt,"39.96876598164982,-75.1997268790072",28702446.5008115,3.6236574746008707,True,31231.511112311346,0.0,11712.0,166,5.783479118942237e-06
45,421010108002-600-foot,"39.96655556342398,-75.2004472970602",2106224.451890515,3.7857142857142856,True,729.355805099957,0.0,6208.0,21,9.970447347693983e-06
46,421010108002-1200-foot,"39.96655556342398,-75.2004472970602",8582497.240583925,3.4285714285714284,True,4245.550548034552,0.0,5264.0,53,6.175358816240534e-06
47,421010108002-1800-foot,"39.96655556342398,-75.2004472970602",19441743.284782667,3.472684085510689,True,9067.220479379665,0.0,6624.0,98,5.040700237859123e-06
