GEOID10,profile,time_limit,average_num_poi,average_rating_poi
421010260001.0,car,600,1903.6,3.53939903341038
421010260001.0,car,1800,27790.4,3.5804270539466865
421010260001.0,car,1200,15217.8,3.5871479451694728
421010260001.0,pt,600,30.6,2.9052287581699345
421010260001.0,pt,1800,700.0,3.629571428571429
421010260001.0,pt,1200,149.0,3.0651006711409394
421010260001.0,foot,600,37.8,2.835978835978836
421010260001.0,foot,1800,180.0,3.1666666666666665
421010260001.0,foot,1200,112.8,2.9326241134751774
421010260002.0,car,600,1798.2,3.543098654209765
421010260002.0,car,1800,27335.2,3.5798018671895577
421010260002.0,car,1200,14564.4,3.582653593694213
421010260002.0,pt,600,9.2,3.8369565217391295
421010260002.0,pt,1800,596.6,3.5799530673818305
421010260002.0,pt,1200,131.4,2.9360730593607305
421010260002.0,foot,600,10.8,3.703703703703704
421010260002.0,foot,1800,209.2,3.2079349904397705
421010260002.0,foot,1200,116.2,2.949225473321859
421010260003.0,car,600,1766.6,3.551851013245783
421010260003.0,car,1800,27348.4,3.5807213584706967
421010260003.0,car,1200,13787.6,3.577787287127564
421010260003.0,pt,600,27.4,3.04014598540146
421010260003.0,pt,1800,704.0,3.6313920454545454
421010260003.0,pt,1200,153.0,3.0901960784313727
421010260003.0,foot,600,26.4,3.106060606060606
421010260003.0,foot,1800,199.8,3.234734734734735
421010260003.0,foot,1200,105.2,3.040874524714829
421010301001.0,car,600,2926.0,3.5177033492822964
421010301001.0,car,1800,30398.6,3.549545044837591
421010301001.0,car,1200,19289.2,3.605815689608693
421010301001.0,pt,600,17.4,3.264367816091954
421010301001.0,pt,1800,1765.2,3.5568207568547474
421010301001.0,pt,1200,236.0,3.3021186440677965
421010301001.0,foot,600,16.4,3.2378048780487805
421010301001.0,foot,1800,199.8,3.2232232232232234
421010301001.0,foot,1200,73.8,3.334688346883469
421010301002.0,car,600,2852.8,3.5227846326416152
421010301002.0,car,1800,30449.2,3.5492952195788394
421010301002.0,car,1200,19231.6,3.605971422034568
421010301002.0,pt,600,19.2,3.583333333333333
421010301002.0,pt,1800,1753.0,3.553850541928123
421010301002.0,pt,1200,218.6,3.2744739249771277
421010301002.0,foot,600,21.8,3.5871559633027523
421010301002.0,foot,1800,197.0,3.23502538071066
421010301002.0,foot,1200,77.0,3.2974025974025976
421010301003.0,car,600,2696.2,3.4985906090052667
421010301003.0,car,1800,30535.2,3.549198957268988
421010301003.0,car,1200,19113.2,3.6069470313709897
421010301003.0,pt,600,13.2,3.636363636363636
421010301003.0,pt,1800,1747.8,3.555155052065454
421010301003.0,pt,1200,215.6,3.281539888682746
421010301003.0,foot,600,8.8,3.6704545454545454
421010301003.0,foot,1800,192.6,3.252855659397716
421010301003.0,foot,1200,76.6,3.2571801566579635
421010301004.0,car,600,3016.2,3.519030568264704
421010301004.0,car,1800,30928.4,3.5486607777964587
421010301004.0,car,1200,19341.6,3.604381230094718
421010301004.0,pt,600,13.2,3.4545454545454546
421010301004.0,pt,1800,904.2,3.4774386197743863
421010301004.0,pt,1200,157.4,3.200762388818297
421010301004.0,foot,600,8.2,3.304878048780488
421010301004.0,foot,1800,189.8,3.2528977871443625
421010301004.0,foot,1200,76.0,3.211842105263158
421010301005.0,car,600,2872.6,3.503759660238112
421010301005.0,car,1800,30691.8,3.549110837422373
421010301005.0,car,1200,19278.8,3.605753470132996
421010301005.0,pt,600,6.6,3.8484848484848486
421010301005.0,pt,1800,1335.8,3.498802215900584
421010301005.0,pt,1200,203.2,3.2741141732283463
421010301005.0,foot,600,6.4,3.8125
421010301005.0,foot,1800,187.0,3.202139037433155
421010301005.0,foot,1200,80.6,3.1885856079404467
421010088012.0,car,600,10503.2,3.6955118440094448
421010088012.0,car,1800,29221.4,3.5536661487813728
421010088012.0,car,1200,19105.0,3.604449097095001
421010088012.0,pt,600,409.0,3.4422982885085576
421010088012.0,pt,1800,7219.8,3.70975650295022
421010088012.0,pt,1200,2979.8,3.5920867172293445
421010088012.0,foot,600,440.8,3.405852994555354
421010088012.0,foot,1800,1544.2,3.5964900919570004
421010088012.0,foot,1200,785.8,3.4601679816747266
421010088011.0,car,600,10338.4,3.6914899791070175
421010088011.0,car,1800,28952.0,3.555077369439072
421010088011.0,car,1200,18893.6,3.608835796248465
421010088011.0,pt,600,422.4,3.4630681818181817
421010088011.0,pt,1800,7169.6,3.708951684891765
421010088011.0,pt,1200,2974.2,3.593672247999462
421010088011.0,foot,600,361.8,3.3653952459922607
421010088011.0,foot,1800,1557.4,3.618081417747528
421010088011.0,foot,1200,793.2,3.4892839132627333
421010088021.0,car,600,10214.0,3.682005091051498
421010088021.0,car,1800,28679.4,3.555335885687985
421010088021.0,car,1200,18768.8,3.610086952815311
421010088021.0,pt,600,341.0,3.549560117302053
421010088021.0,pt,1800,6371.2,3.683654570567554
421010088021.0,pt,1200,2456.8,3.5857212634321067
421010088021.0,foot,600,211.8,3.442398489140699
421010088021.0,foot,1800,1157.8,3.538175850751425
421010088021.0,foot,1200,771.6,3.528123379989632
421010088022.0,car,600,10370.4,3.6895973154362416
421010088022.0,car,1800,28909.0,3.555840741637552
421010088022.0,car,1200,18834.0,3.609132420091324
421010088022.0,pt,600,470.8,3.405480033984707
421010088022.0,pt,1800,8320.4,3.7333301283592135
421010088022.0,pt,1200,4582.2,3.657915411810921
421010088022.0,foot,600,343.2,3.37004662004662
421010088022.0,foot,1800,1180.8,3.5499661246612466
421010088022.0,foot,1200,766.4,3.4930845511482254
421010088023.0,car,600,10103.6,3.683380181321509
421010088023.0,car,1800,28774.4,3.556091525800712
421010088023.0,car,1200,18623.2,3.610077752480777
421010088023.0,pt,600,390.2,3.4659149154279856
421010088023.0,pt,1800,7161.8,3.707796922561368
421010088023.0,pt,1200,2617.4,3.568426682967831
421010088023.0,foot,600,331.6,3.4044028950542824
421010088023.0,foot,1800,1236.2,3.552580488594079
421010088023.0,foot,1200,801.8,3.515589922673984
421010088024.0,car,600,10231.6,3.685718753665116
421010088024.0,car,1800,28746.4,3.5554156346533827
421010088024.0,car,1200,18757.4,3.609903291500954
421010088024.0,pt,600,348.0,3.5089080459770114
421010088024.0,pt,1800,6607.2,3.6921842838116
421010088024.0,pt,1200,2461.8,3.574904541392477
421010088024.0,foot,600,274.6,3.4111434814275308
421010088024.0,foot,1800,1245.2,3.5575811114680373
421010088024.0,foot,1200,800.4,3.5227386306846578
421010342001.0,car,600,2046.0,3.4128543499511244
421010342001.0,car,1800,26494.0,3.5745225334037896
421010342001.0,car,1200,9282.6,3.5346993299291145
421010342001.0,pt,600,1.0,4.1
421010342001.0,pt,1800,333.0,3.430930930930931
421010342001.0,pt,1200,82.8,3.455314009661836
421010342001.0,foot,600,1.2,4.166666666666667
421010342001.0,foot,1800,88.2,3.6099773242630384
421010342001.0,foot,1200,33.8,3.64792899408284
421010342002.0,car,600,2095.8,3.4211279702261668
421010342002.0,car,1800,26536.4,3.5732277173994964
421010342002.0,car,1200,9449.6,3.534414155096512
421010342002.0,pt,600,0.6,4.166666666666667
421010342002.0,pt,1800,392.8,3.4124236252545823
421010342002.0,pt,1200,91.6,3.447598253275109
421010342002.0,foot,600,0.8,4.125
421010342002.0,foot,1800,59.4,3.621212121212121
421010342002.0,foot,1200,17.6,3.5454545454545454
421010170001.0,car,600,6666.8,3.631727365452691
421010170001.0,car,1800,30000.0,3.5593966666666668
421010170001.0,car,1200,18962.2,3.624273554756305
421010170001.0,pt,600,36.8,3.7989130434782608
421010170001.0,pt,1800,831.8,3.6453474392882894
421010170001.0,pt,1200,242.2,3.809248554913295
421010170001.0,foot,600,31.4,4.050955414012739
421010170001.0,foot,1800,160.0,3.680625
421010170001.0,foot,1200,111.0,3.8585585585585584
421010170002.0,car,600,7567.4,3.626238866717763
421010170002.0,car,1800,30644.2,3.5579881347857016
421010170002.0,car,1200,19599.8,3.617756303635751
421010170002.0,pt,600,11.0,2.6818181818181817
421010170002.0,pt,1800,664.2,3.422463113520024
421010170002.0,pt,1200,101.6,3.358267716535433
421010170002.0,foot,600,11.8,2.6779661016949152
421010170002.0,foot,1800,170.8,3.540983606557377
421010170002.0,foot,1200,72.2,3.505540166204986
421010170003.0,car,600,6040.4,3.628137209456328
421010170003.0,car,1800,29847.0,3.560016082018293
421010170003.0,car,1200,18736.0,3.6263770281810417
421010170003.0,pt,600,21.2,3.8632075471698113
421010170003.0,pt,1800,1071.0,3.618767507002801
421010170003.0,pt,1200,209.0,3.70622009569378
421010170003.0,foot,600,29.6,4.101351351351352
421010170003.0,foot,1800,153.4,3.6877444589308994
421010170003.0,foot,1200,119.8,3.787145242070117
421010383001.0,car,600,3800.2,3.5845744960791537
421010383001.0,car,1800,30289.2,3.550760667168496
421010383001.0,car,1200,18789.2,3.608567687820663
421010383001.0,pt,600,7.0,3.2142857142857144
421010383001.0,pt,1800,671.6,3.569088743299583
421010383001.0,pt,1200,87.8,3.2574031890660597
421010383001.0,foot,600,5.4,3.2222222222222223
421010383001.0,foot,1800,119.6,3.382107023411371
421010383001.0,foot,1200,35.6,3.202247191011236
421010383002.0,car,600,4194.0,3.5758941344778257
421010383002.0,car,1800,30994.0,3.549545073239982
421010383002.0,car,1200,19414.8,3.6078816160866967
421010383002.0,pt,600,13.0,3.392307692307692
421010383002.0,pt,1800,474.6,3.3522966708807416
421010383002.0,pt,1200,94.8,3.3470464135021096
421010383002.0,foot,600,12.6,3.4285714285714284
421010383002.0,foot,1800,141.2,3.320113314447592
421010383002.0,foot,1200,61.0,3.455737704918033
421010383003.0,car,600,4456.4,3.567251593214253
421010383003.0,car,1800,31113.8,3.550745971241057
421010383003.0,car,1200,19589.0,3.608688549696258
421010383003.0,pt,600,17.0,3.1294117647058823
421010383003.0,pt,1800,553.8,3.337486457204767
421010383003.0,pt,1200,119.0,3.3285714285714287
421010383003.0,foot,600,13.4,3.0970149253731343
421010383003.0,foot,1800,157.4,3.283354510800508
421010383003.0,foot,1200,56.2,3.4555160142348758
421010211001.0,car,600,2053.2,3.545246444574323
421010211001.0,car,1800,28906.0,3.567352798726908
421010211001.0,car,1200,18244.4,3.6293054307075048
421010211001.0,pt,600,44.6,3.5582959641255605
421010211001.0,pt,1800,908.6,3.578582434514638
421010211001.0,pt,1200,250.2,3.6390887290167866
421010211001.0,foot,600,28.4,3.6443661971830985
421010211001.0,foot,1800,500.6,3.780463443867359
421010211001.0,foot,1200,156.4,3.6310741687979537
421010211002.0,car,600,2222.2,3.53739537395374
421010211002.0,car,1800,29233.8,3.567634040049532
421010211002.0,car,1200,18571.2,3.626873869216852
421010211002.0,pt,600,76.8,3.481770833333333
421010211002.0,pt,1800,990.0,3.575050505050505
421010211002.0,pt,1200,405.6,3.68836291913215
421010211002.0,foot,600,49.6,3.502016129032258
421010211002.0,foot,1800,523.8,3.758495609011073
421010211002.0,foot,1200,309.6,3.741602067183463
421010252001.0,car,600,2254.0,3.569210292812777
421010252001.0,car,1800,28408.2,3.5657063805520943
421010252001.0,car,1200,17176.8,3.6277711797308
421010252001.0,pt,600,29.8,3.37248322147651
421010252001.0,pt,1800,795.2,3.4753521126760565
421010252001.0,pt,1200,239.2,3.397575250836121
421010252001.0,foot,600,14.8,3.472972972972973
421010252001.0,foot,1800,248.4,3.467391304347826
421010252001.0,foot,1200,103.0,3.55242718446602
421010252002.0,car,600,2322.0,3.5655900086132646
421010252002.0,car,1800,28549.4,3.5649085444878
421010252002.0,car,1200,17430.6,3.6273163287551777
421010252002.0,pt,600,46.4,3.405172413793104
421010252002.0,pt,1800,704.0,3.5
421010252002.0,pt,1200,230.8,3.475736568457539
421010252002.0,foot,600,33.4,3.4491017964071857
421010252002.0,foot,1800,275.4,3.556644880174292
421010252002.0,foot,1200,133.4,3.484257871064468
421010039011.0,car,600,9895.2,3.7037250384024576
421010039011.0,car,1800,28383.4,3.553288189575597
421010039011.0,car,1200,18517.6,3.601417030284702
421010039011.0,pt,600,370.6,3.968159740960605
421010039011.0,pt,1800,7385.2,3.719723230244272
421010039011.0,pt,1200,3153.6,3.737633181126332
421010039011.0,foot,600,328.6,3.98934875228241
421010039011.0,foot,1800,1750.0,3.9034857142857136
421010039011.0,foot,1200,809.0,3.985908529048208
421010039012.0,car,600,9738.0,3.695799958923804
421010039012.0,car,1800,28055.4,3.554153567584137
421010039012.0,car,1200,18492.4,3.5976995955095066
421010039012.0,pt,600,290.0,3.969655172413793
421010039012.0,pt,1800,6304.6,3.7239158709513687
421010039012.0,pt,1200,2262.6,3.7602757889154073
421010039012.0,foot,600,262.6,3.982102056359482
421010039012.0,foot,1800,1386.8,3.859172194981252
421010039012.0,foot,1200,725.2,3.958494208494209
421010039013.0,car,600,9595.6,3.695224894743424
421010039013.0,car,1800,28078.8,3.55374161288944
421010039013.0,car,1200,18344.2,3.602272107805192
421010039013.0,pt,600,200.4,3.993013972055888
